"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"A-GCA",28.2982787917561,13.4094774948038,10.8911364107724,1.73505220689617,2.26523915348697,0.523753775434197,4.53821957347895,1.46640669396816,3.35869039484906,28.3473642130526
"A-GCC",22.767871549333,15.8437225611057,7.20356656794045,6.87774560331938,1.29136598711543,1.08995291808393,6.35022564303101,6.36065485878481,2.16944231956973,25.3367373339289
"A-GCG",143.832744781853,5.09274379006639,0.122607666416325,0.203584573856611,13.6977622046649,1.58486474533642,37.7817655886247,9.53537996161467,1.49924303965042,1.78619189116474
"A-GCT",23.2072957875729,4.09755418987648,1.51526260514951,4.91763263146744,3.34775592333204,0.208343509475417,4.31543885167762,5.25113147998683,3.49941022061893,5.74572250868631
"C-TGC",25.364447542176,0.0296767739109337,0.359891494427363,0.0515167297927032,2.95780029044345,1.96741488020176,0.180082924104425,1.2967973569505,0.322758899064244,3.33834080040529
"C-TGT",25.364447542176,0.0296767739109337,0.359891494427363,0.0515167297927032,2.95780029044345,1.96741488020176,0.180082924104425,1.2967973569505,0.322758899064244,3.33834080040529
"D-GAC",0.918038009210512,1.21881256296314,2.29629020033302,0.0966955047891036,0.33072017836742,1.30204536330466,0.00111630137429671,0.6658716305775,6.53104493541416,0.0105734499054778
"D-GAT",0.918038009210512,1.21881256296314,2.29629020033302,0.0966955047891036,0.33072017836742,1.30204536330466,0.00111630137429671,0.6658716305775,6.53104493541416,0.0105734499054778
"E-GAA",4.40667710123242,0.14553927002768,3.82660410122057,1.32003115469434,0.158928043238403,1.52937094401189,4.72724023085917,0.206830905488582,0.00271424597709485,50.2191774115659
"E-GAG",4.40667710123239,0.145539270027691,3.82660410122057,1.32003115469431,0.158928043238413,1.52937094401192,4.72724023085917,0.206830905488571,0.00271424597709485,50.2191774115661
"F-TTC",105.229233171822,50.8166073230997,2.19668194357147,0.944080216581749,0.375116630878367,8.8012144288277,6.9004622446181,17.39890836942,26.8940418356362,9.28879724573114
"F-TTT",105.229233171822,50.8166073230997,2.19668194357145,0.944080216581749,0.375116630878377,8.8012144288277,6.9004622446181,17.39890836942,26.8940418356362,9.28879724573114
"G-GGA",55.2260594478195,0.0153243040193669,3.00397825628034,16.8855487461126,12.4668243244056,9.17672741190866,1.24380264981314,4.66453420823478,1.690801905716,51.8676005795404
"G-GGC",8.03217109882674,0.187845234886659,5.95948941032566,8.83045446260705,7.65610537018473,6.46777292340223,0.281843095816121,0.686198553532713,2.76371301766887,34.9782611790858
"G-GGG",1.56889469157224,10.1602102563807,0.522147513910351,0.116155462870459,3.67866374983635,4.55390016391819,4.97652297618775,2.2649070699525,0.00654152650930759,19.6654085778168
"G-GGT",10.4025311627843,3.76258289721804,0.846649470999254,0.241747222799499,1.13488675853087,0.808332081868548,3.0698123598102,10.2150407665033,0.923123695268161,3.29762821262687
"H-CAC",4.16701222641358,1.42444759061507,0.953198604078544,0.108539916674881,0.000214020539064758,4.98812893874566,0.373631208838575,5.87245185504946,0.0227085604386224,0.676956429887847
"H-CAT",4.16701222641358,1.42444759061507,0.953198604078544,0.108539916674881,0.000214020539064758,4.98812893874566,0.373631208838575,5.87245185504946,0.0227085604386224,0.676956429887847
"I-ATA",110.57717365554,1.85857691642759,0.133800224185171,19.5855588560817,9.17550633446089,10.1546159225977,28.5015259112917,3.60662887220276,8.27071003300251,66.730211816011
"I-ATC",51.7669128028007,0.280703099247799,1.51472220183173,5.25084977353323,7.66770400987449,5.50489253961828,1.70404073693368,5.27540399521564,0.13922197919131,24.2013919559905
"I-ATT",1.10025914368442,0.0125647957509022,1.7924969306998,0.115446766091899,1.88168371199181,0.494262507125793,1.42571356605967,1.93555211753734,2.84330802878253,1.0531826089799
"K-AAA",3.51515841805282,0.753127880184338,4.92480028952452,0.528968659967851,3.19135139216059,1.61364992175607,5.60897025839272,0.0323948765469664,0.171966609077772,61.4489577179362
